"id","name","code_prefix_start","code_prefix_end"
"account_group_3101","CAPITAL","3101","3101"
"account_group_1106","CUENTAS POR COBRAR","1106","1106"
"account_group_1107","TRIBUTOS PREPAGADOS","1107","1107"
"account_group_2101","PASIVO CIRCULANTE","2101","2101"
"account_group_2102","IMPUESTOS POR PAGAR","2102","2102"
"account_group_4101","INGRESOS OPERATIVOS","4101","4101"
"account_group_4102","OTROS INGRESOS","4102","4102"
"account_group_5101","GASTOS DE VENTA","5101","5101"
"account_group_5102","GASTOS OPERATIVOS","5102","5102"
