"id","name","apply_subtracting","percentage","status","accumulated_rate","tax_unit_id/id"
"fees_retention_data_substrat_l10n_ve_withholding","3%","True","3.0","True","False","tax_unit_data_l10n_ve_withholding"
"fees_retention_data_percentage_one_l10n_ve_withholding","5%","False","5.0","True","False","tax_unit_data_l10n_ve_withholding"
"fees_retention_data_percentage_two_l10n_ve_withholding","34%","False","34.0","True","False","tax_unit_data_l10n_ve_withholding"
"fees_retention_data_substrat_second_l10n_ve_withholding","1%","True","1.0","True","False","tax_unit_data_l10n_ve_withholding"
"fees_retention_data_l10n_ve_percentage_three_payment_extension","2%","False","2.0","True","False","tax_unit_data_l10n_ve_withholding"
"fees_retention_data_percentage_four_l10n_ve_withholding","3%","False","3.0","True","False","tax_unit_data_l10n_ve_withholding"
"fees_retention_data_percentage_five_l10n_ve_withholding","T-2 (Acumulativo)","False","0.0","True","False","tax_unit_data_l10n_ve_withholding"
