"id","name","status"
"payment_concept_one_l10n_ve_withholding","Honorarios Profesionales Pagados a","True"
"payment_concept_two_l10n_ve_withholding","Gastos de Transporte (Fletes) Pagados a","True"
"payment_concept_three_l10n_ve_withholding","(Contratista) Ejecución de obras y prestación de servicios en Venezuela pagadas a:","True"
"payment_concept_four_l10n_ve_withholding","Arrendamiento de bienes muebles pagado a:","True"
"payment_concept_five_l10n_ve_withholding","Arrendamiento o cesión de uso de bienes inmuebles, pagados al arrendador por personas jurídicas, comunidades o los administradores:","True"
"payment_concept_six_l10n_ve_withholding","Publicidad, propaganda y venta de espacios pagadas a","True"
"payment_concept_seven_l10n_ve_withholding","Comisiones pagadas a","True"
